u,v,w,Y
298.15,274.15,3800,-2082.381524771811
298.15,274.15,4000,-2179.815463248154
298.15,274.15,4200,-2276.0347778660107
298.15,274.15,4400,-2371.040602567805
298.15,274.15,4600,-2464.83413405128
298.15,274.15,4800,-2557.41662350878
298.15,276.15,2000,-1226.3094777507192
298.15,276.15,2200,-1341.4432624301685
298.15,276.15,2400,-1455.2070789702302
298.15,276.15,2600,-1567.601291623986
298.15,276.15,2800,-1678.6265467178785
298.15,276.15,3000,-1788.2833794982578
298.15,276.15,3200,-1896.572780949146
298.15,276.15,3400,-2003.495829956646
298.15,276.15,3600,-2109.053745991867
298.15,276.15,3800,-2213.2478707537934
298.15,276.15,4000,-2316.079652676982
298.15,276.15,4200,-2417.5506321261014
298.15,276.15,4400,-2517.662428577706
298.15,276.15,4600,-2616.416729057483
298.15,276.15,4800,-2713.8152764886304
303.15,268.15,2000,-907.7338823231968
303.15,268.15,2200,-993.7379483314664
303.15,268.15,2400,-1078.8749017189728
303.15,268.15,2600,-1163.1454641651408
303.15,268.15,2800,-1246.5504239129589
303.15,268.15,3000,-1329.0904945404861
303.15,268.15,3200,-1410.7663323193767
303.15,268.15,3400,-1491.578554511949
303.15,268.15,3600,-1571.5275475488806
303.15,268.15,3800,-1650.613847025757
303.15,268.15,4000,-1728.8386148873572
303.15,268.15,4200,-1806.2022806689827
303.15,268.15,4400,-1882.7049268681078
303.15,268.15,4600,-1958.347052995581
303.15,268.15,4800,-2033.1296077948077
303.15,270.15,2000,-970.2639680597748
303.15,270.15,2200,-1061.9021412151897
303.15,270.15,2400,-1152.5624689510864
303.15,270.15,2600,-1242.246005919312
303.15,270.15,2800,-1330.9537038540414
303.15,270.15,3000,-1418.6864416578326
303.15,270.15,3200,-1505.4449737865957
303.15,270.15,3400,-1591.230200073362
303.15,270.15,3600,-1676.042869476245
303.15,270.15,3800,-1759.5335290392302
303.15,270.15,4000,-1842.7535620937747
303.15,270.15,4200,-1924.6528881472318
303.15,270.15,4400,-2005.4226114328785
303.15,270.15,4600,-2085.5437180416116
303.15,270.15,4800,-2164.5366467374606
303.15,272.15,2000,-1035.9898677854385
303.15,272.15,2200,-1133.517177581365
303.15,272.15,2400,-1229.9441850899473
303.15,272.15,2600,-1325.2721356876516
303.15,272.15,2800,-1419.5021717652173
303.15,272.15,3000,-1512.6352621392657
303.15,272.15,3200,-1604.6726588495203
303.15,272.15,3400,-1695.6150617495236
303.15,272.15,3600,-1785.4641387321947
303.15,272.15,3800,-1873.7480969312105
303.15,272.15,4000,-1961.8298032951202
303.15,272.15,4200,-2048.4579490946367
303.15,272.15,4400,-2133.9419972396413
303.15,272.15,4600,-2218.337054273266
303.15,272.15,4800,-2301.644357270767
303.15,274.15,2000,-1105.0228022476163
303.15,274.15,2200,-1208.6994579959298
303.15,274.15,2400,-1311.1403522850023
303.15,274.15,2600,-1412.3469487139807
303.15,274.15,2800,-1512.320573037534
303.15,274.15,3000,-1611.0625208559175
303.15,274.15,3200,-1708.5745063087863
303.15,274.15,3400,-1804.8573586237965
303.15,274.15,3600,-1899.9125706492503
303.15,274.15,3800,-1993.741730166198
303.15,274.15,4000,-2086.3457621323287
303.15,274.15,4200,-2177.7261748218602
303.15,274.15,4400,-2267.884313659292
303.15,274.15,4600,-2356.821524878331
303.15,274.15,4800,-2444.5391521423926
303.15,276.15,2000,-1177.4765337613815
303.15,276.15,2200,-1287.567405413364
303.15,276.15,2400,-1396.2728396715806
303.15,276.15,2600,-1503.5638373688655
303.15,276.15,2800,-1609.5342396927392
303.15,276.15,3000,-1714.093808813799
303.15,276.15,3200,-1817.2746891360991
303.15,276.15,3400,-1919.0786177362036
303.15,276.15,3600,-2019.5073482960915
303.15,276.15,3800,-2118.562621465543
303.15,276.15,4000,-2216.2461953006646
303.15,276.15,4200,-2312.5598407602442
303.15,276.15,4400,-2407.505336547903
303.15,276.15,4600,-2501.0844621969327
303.15,276.15,4800,-2593.298990774403
308.15,268.15,2000,-870.675070483445
308.15,268.15,2200,-952.7940546783337
308.15,268.15,2400,-1034.0251658881944
308.15,268.15,2600,-1114.3712051550276
308.15,268.15,2800,-1193.8344272566246
308.15,268.15,3000,-1272.4173404820692
308.15,268.15,3200,-1350.1215585860996
308.15,268.15,3400,-1426.948678921924
308.15,268.15,3600,-1502.9001081117115
308.15,268.15,3800,-1577.9770905256441
308.15,268.15,4000,-1652.1807554619845
308.15,268.15,4200,-1725.5120553243107
308.15,268.15,4400,-1797.9719993236777
308.15,268.15,4600,-1869.5608859769757
308.15,268.15,4800,-1940.2809736506526
308.15,270.15,2000,-930.4971596371424
308.15,270.15,2200,-1017.9685595335533
308.15,270.15,2400,-1104.441056244868
308.15,270.15,2600,-1189.9181260188946
308.15,270.15,2800,-1274.4021956549566
308.15,270.15,3000,-1357.8955428039262
308.15,270.15,3200,-1440.4001504208538
308.15,270.15,3400,-1521.9175380039342
308.15,270.15,3600,-1602.4499596165476
308.15,270.15,3800,-1681.9981128110858
308.15,270.15,4000,-1760.5635314253404
308.15,270.15,4200,-1838.1466098730098
308.15,270.15,4400,-1912.57313014199
308.15,270.15,4600,-1990.3743355600996
308.15,270.15,4800,-2065.019499149318
308.15,272.15,2000,-993.3578783661967
308.15,272.15,2200,-1086.4221593901455
308.15,272.15,2400,-1178.365368520501
308.15,272.15,2600,-1269.190617397865
308.15,272.15,2800,-1358.9007299739826
308.15,272.15,3000,-1447.4981663183291
308.15,272.15,3200,-1534.9848095743905
308.15,272.15,3400,-1621.3632240090483
308.15,272.15,3600,-1706.634678615996
308.15,272.15,3800,-1790.8012256279617
308.15,272.15,4000,-1873.863862189176
308.15,272.15,4200,-1955.824159095056
308.15,272.15,4400,-2036.2582966277207
308.15,272.15,4600,-2116.4427681363145
308.15,272.15,4800,-2195.1030435553184
308.15,274.15,2000,-1059.3624922196625
308.15,274.15,2200,-1158.2653310452533
308.15,274.15,2400,-1255.9115042037713
308.15,274.15,2600,-1352.3045134364993
308.15,274.15,2800,-1447.4473098004826
308.15,274.15,3000,-1541.3427454846617
308.15,274.15,3200,-1633.9930894984147
308.15,274.15,3400,-1725.400667858633
308.15,274.15,3600,-1815.5672608388263
308.15,274.15,3800,-1904.4949338985436
308.15,274.15,4000,-1992.1854953275158
308.15,274.15,4200,-2078.4639213647765
308.15,274.15,4400,-2163.8609023853987
308.15,274.15,4600,-2247.8494175504948
308.15,274.15,4800,-2330.6064242854313
308.15,276.15,2000,-1128.6190600294858
308.15,276.15,2200,-1233.6099016626329
308.15,276.15,2400,-1337.194564113643
308.15,276.15,2600,-1439.1780797251033
308.15,276.15,2800,-1540.1596659435688
308.15,276.15,3000,-1639.5466452745334
308.15,276.15,3200,-1737.5400968163735
308.15,276.15,3400,-1834.1416950154228
308.15,276.15,3600,-1929.3565774452834
308.15,276.15,3800,-2023.1840363416695
308.15,276.15,4000,-2115.627171512756
308.15,276.15,4200,-2206.687975190039
308.15,276.15,4400,-2296.3683336626023
308.15,276.15,4600,-2384.6700339904237
308.15,276.15,4800,-2471.5947647433163
313.15,268.15,2000,-833.5366230213926
313.15,268.15,2200,-911.7302050166809
313.15,268.15,2400,-989.010711209289
313.15,268.15,2600,-1065.3832411371188
313.15,268.15,2800,-1140.8522094100751
313.15,268.15,3000,-1215.4213779728882
313.15,268.15,3200,-1289.0936938480124
313.15,268.15,3400,-1361.872493886139
313.15,268.15,3600,-1433.7598395974599
313.15,268.15,3800,-1504.7578293467498
313.15,268.15,4000,-1574.8680667987408
313.15,268.15,4200,-1644.0922193758145
313.15,268.15,4400,-1712.4315955376687
313.15,268.15,4600,-1779.887330510823
313.15,268.15,4800,-1846.4603958572307
313.15,270.15,2000,-890.6346832525919
313.15,270.15,2200,-973.8930111081286
313.15,270.15,2400,-1056.1268430196887
313.15,270.15,2600,-1137.3417034532033
313.15,270.15,2800,-1217.5422551847582
313.15,270.15,3000,-1296.7322191017497
313.15,270.15,3200,-1374.9154713715836
313.15,270.15,3400,-1452.0946322835462
313.15,270.15,3600,-1528.2722704836233
313.15,270.15,3800,-1603.4502510865168
313.15,270.15,4000,-1677.6307236371551
